id,condition,manipulation_check,manipulation_check_quantised,Gefen1,Gefen1_quantised,Gefen2,Gefen2_quantised,Gefen3,Gefen3_quantised,Gefen4,Gefen4_quantised,attention3,attention3_quantised,Gefen5,Gefen5_quantised,score
60f2a2b4932fed5326988e0f,baseline,Strongly Agree,7,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Strongly Agree,7,Neither Agree Nor Disagree,4,20
616c68e625bb541560b21be3,baseline,Agree,6,Slightly Agree,5,Slightly Agree,5,Agree,6,Slightly Agree,5,Strongly Agree,7,Slightly Disagree,3,24
5f108dea719866356702d26f,baseline,Slightly Agree,5,Agree,6,Slightly Disagree,3,Strongly Agree,7,Agree,6,Strongly Agree,7,Agree,6,28
5e9e08653b081619a9b61f22,baseline,Neither Agree Nor Disagree,4,Slightly Agree,5,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Agree,5,Strongly Agree,7,Agree,6,25
61648e4f0d2212047ab36b27,baseline,Disagree,2,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Strongly Agree,7,Strongly Agree,7,32
5ec51242bc5aac433c0450ec,baseline,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Slightly Agree,5,Agree,6,Neither Agree Nor Disagree,4,24
5f194a84823da61b2d97e805,baseline,Slightly Agree,5,Slightly Disagree,3,Neither Agree Nor Disagree,4,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Neither Agree Nor Disagree,4,17
61141c855eb58d6a4e3d8d5b,baseline,Slightly Disagree,3,Agree,6,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,29
5bb775b0f1f9ba000140e7b3,baseline,Slightly Agree,5,Strongly Agree,7,Slightly Agree,5,Strongly Agree,7,Agree,6,Strongly Agree,7,Strongly Agree,7,32
60a256f83ef6ada5debc47a9,baseline,Slightly Agree,5,Agree,6,Slightly Agree,5,Agree,6,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,25
5f033543945c554f816f6ad7,baseline,Disagree,2,Slightly Agree,5,Agree,6,Agree,6,Slightly Agree,5,Strongly Agree,7,Agree,6,28
6130d846086f43ecd225d128,baseline,Disagree,2,Slightly Disagree,3,Disagree,2,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Slightly Disagree,3,14
5e6e880e03cac4000c303b57,baseline,Strongly Disagree,1,Slightly Agree,5,Disagree,2,Disagree,2,Slightly Agree,5,Strongly Agree,7,Slightly Agree,5,19
6112198acd7d56cbc94793fc,baseline,Strongly Agree,7,Strongly Agree,7,Agree,6,Slightly Disagree,3,Slightly Agree,5,Strongly Agree,7,Agree,6,27
5edf7eb5f7c9f924584dbb3d,baseline,Slightly Disagree,3,Slightly Disagree,3,Slightly Agree,5,Neither Agree Nor Disagree,4,Slightly Agree,5,Strongly Agree,7,Slightly Disagree,3,20
611cf858473171b4bbd2a6c7,baseline,Agree,6,Slightly Agree,5,Slightly Agree,5,Disagree,2,Disagree,2,Strongly Agree,7,Slightly Agree,5,19
5f7f2d49b5adb407119beb21,baseline,Neither Agree Nor Disagree,4,Agree,6,Agree,6,Strongly Agree,7,Agree,6,Strongly Agree,7,Agree,6,31
60a175f6498436e6bf83d772,baseline,Slightly Agree,5,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
615c7b5b6c6f51e68938c2aa,baseline,Slightly Disagree,3,Strongly Disagree,1,Strongly Disagree,1,Slightly Disagree,3,Slightly Disagree,3,Strongly Agree,7,Disagree,2,10
6103a3ece71ab061d5624402,baseline,Slightly Agree,5,Disagree,2,Disagree,2,Agree,6,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,18
5dae5c7158a2e500170f1cd8,baseline,Disagree,2,Agree,6,Agree,6,Agree,6,Agree,6,Strongly Agree,7,Agree,6,30
