id,condition,trial,rt,follow_robot,accuracy,conf,data_source,group,rt_mean,conf_mean,follow_freq,5_conf,10_conf,5_rt,10_rt,5_follow,10_follow
607891c8b885bba402af59ff,No-ToM,Trial 6,1236.5,follow,correct,100,trial,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607891c8b885bba402af59ff,No-ToM,Trial 7,5591.70000000298,not_follow,incorrect,100,attention,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607891c8b885bba402af59ff,No-ToM,Trial 8,1602.79999999702,follow,correct,100,trial,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607891c8b885bba402af59ff,No-ToM,Trial 9,761.6000000089407,follow,correct,100,trial,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607891c8b885bba402af59ff,No-ToM,Assessment of Trust,562.4000000059604,follow,correct,70,trial,trustor,1608.8500000014901,97,8,100,70,588.9000000059604,562.4000000059604,follow,follow
607a01580101ea8b2652e450,No-ToM,Trial 1,4159,follow,correct,100,trial,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Trial 2,1305,follow,correct,100,trial,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Trial 3,6929,follow,correct,72,attention,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Trial 4,626,follow,correct,100,trial,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Breaking of Trust,711,follow,correct,89,trial,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Trial 6,877,follow,correct,63,trial,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Trial 7,4751,follow,correct,72,attention,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Trial 8,2495,follow,correct,100,trial,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Trial 9,1843,follow,correct,100,trial,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607a01580101ea8b2652e450,No-ToM,Assessment of Trust,1080,follow,correct,60,trial,trustor,2477.6,85.6,10,89,60,711,1080,follow,follow
607c1d635d5767489a9623eb,No-ToM,Trial 1,1808.299999982119,follow,correct,100,trial,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Trial 2,4120.100000023844,follow,correct,98,trial,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Trial 3,94276.30000001192,follow,correct,100,attention,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Trial 4,22728.59999999404,not_follow,incorrect,100,trial,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Breaking of Trust,6946,not_follow,incorrect,80,trial,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Trial 6,19244.20000001788,not_follow,incorrect,82,trial,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Trial 7,5706.5,follow,correct,81,attention,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Trial 8,1172.8000000119205,follow,correct,100,trial,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Trial 9,1194.5999999940395,follow,correct,100,trial,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607c1d635d5767489a9623eb,No-ToM,Assessment of Trust,2270.7999999821186,not_follow,incorrect,82,trial,distrustor,15946.820000001788,92.3,6,80,82,6946,2270.7999999821186,not_follow,not_follow
607fc87d80f8b65f2a85b77b,ToM,Trial 1,4632.399999991059,follow,correct,100,trial,trust_loser,3647.79999999851,100,9,100,100,733.5,627,follow,not_follow
607fc87d80f8b65f2a85b77b,ToM,Trial 2,774.9000000059604,follow,correct,100,trial,trust_loser,3647.79999999851,100,9,100,100,733.5,627,follow,not_follow
